LotDescription,Parent#,Revenue,ParentID,LotID
SS46LB - Light Blue Woven Shirts,B00AQ4FSM0,27.72,255,1034
SY10 - Black/Charcoal Woven Shirts,B00O973OIK,2756.34,599,1047
SY10 - Charcoal/Grey Woven Shirts,B00O973OIK,1298.92,599,1049
SY10 - Charcoal/Grey Woven Shirts,B00F8NOXLG,144.23,301,1049
SY10 - Charcoal/Grey Woven Shirts,B00FDOARL0,50.9,303,1049
SY10 - Charcoal/Grey Woven Shirts,B00O98FLQ2,47.98,607,1049
SY10 - Charcoal/Grey Woven Shirts,B00FDOAU08,39.06,304,1049
SY10 - Charcoal/Grey Woven Shirts,B00FDOAKPS,24.12,302,1049
SY10 - Black/Red Woven Shirts,B00O973OIK,1286.07,599,1048
SY10 - Navy/Grey Woven Shirts,B00O973OIK,552.28,599,1050
JD24 - Navy Duck Outerwear,B00O971GEY,2709.6,492,311
JD24 - Brown Duck Outerwear,B00O971GEY,1143.5500000000002,492,310
SR61 - White Hospitality,B00SBHN95M,2684.1099999999997,655,1016
SR61 - Light Blue Hospitality,B00SBHN95M,1674.98,655,1015
SR61 - Blue/White Stripe Hospitality,B00SBHN95M,733.36,655,1013
SR61 - Gray Hospitality,B00SBHN95M,576.0,655,1014
BD30 - Navy Duck Bibs & Overalls,B00O9719E6,2635.23,475,204
BD30 - Brown Duck Bibs & Overalls,B00O9719E6,237.56,475,203
BD10 - Denim With Yellow/Silver Visibility Trim Bibs & Overalls,B00O9719TG,2626.0500000000006,477,202
BNF8RB RG XXL - Royal Blue Flame Resistant Bottoms,B00JIIK9PG,2579.97,376,209
BNF8RB RG XXL - Royal Blue Flame Resistant Bottoms,B01EE5EBP6,55.64,711,209
SH20 - Charcoal Uniforms Tops,B00O972QR0,2575.46,550,681
SH20 - Navy Uniforms Tops,B00O972QR0,505.51,550,682
PT50 - Navy Pants,B00O54MB3G,2574.3900000000003,428,538
PT50 - Charcoal Pants,B00O54MB3G,1796.67,428,536
PT50 - Chocolate Brown Pants,B00O54MB3G,1318.5000000000002,428,537
PT50 - Spruce Green Pants,B00O54MB3G,1306.29,428,539
